item,itemLabel,startDate,endDate,sourceDate,psid
Q325479,Dhiyab bin Isa Al Nahyan,1761,1793,,Q325479-fcdbfac7-40d9-26d2-420a-b97692546f85
Q325507,Shakhbut bin Dhiyab Al Nahyan,1793,1816,,Q325507-9f1fd76e-4fef-5275-d390-89dc3c11e46d
Q6932845,Muhammad bin Shakhbut Al Nahyan,1816,1818,,Q6932845-D0691B65-4E2F-409A-A760-510DDF5802EE
Q325518,Tahnun bin Shakhbut Al Nahyan,1818,1833-04,,Q325518-3ED4211E-FF3A-4EBD-93D9-316ABD67E8CF
Q6413077,Khalifa bin Shakhbut Al Nahyan,1833-04,1845,,Q6413077-29AAF544-426C-441F-8D7C-58B341CA4E0C
Q6409682,Saeed bin Tahnun Al Nahyan,1845-12,1855,,Q6409682-2C473F6E-2438-4D40-A9BD-B6042B1A2CA3
Q4119330,Zayed bin Khalifa Al Nahyan,1855,1909,,Q4119330-EF9E0C3B-9E13-47D1-A005-5105683A4A89
Q6406856,Tahnoun bin Zayed bin Khalifa Al Nahyan,1909-05,1912-10,,Q6406856-2ABE36F0-6E81-41FE-A0AF-302A6CB32916
Q60786126,Hamdan bin Zayed bin Khalifa Al Nahyan,1912-10,1922-08-22,,Q60786126-14A24EB9-79C0-4487-9EE1-B41044B6C34A
Q6409495,Sultan bin Zayed bin Khalifa Al Nahyan,1922-08-22,1926-08-04,,Q6409495-82CF4C7D-FFE2-4461-BE1D-ADB76392C742
Q7421245,Saqr bin Zayed Al Nahyan,1926-08-04,1928-01-01,,Q7421245-DC97D1E4-723C-48A6-859E-5C12E6BAF7B8
Q2661904,Shakhbut bin Sultan Al Nahyan,1928-01-01,1966-08-06,,Q2661904-1D2763D1-C30B-41A5-BDE1-A386B8FA2D74
Q167846,Zayed bin Sultan Al Nahyan,1966-08-02,2004-11-02,,Q167846-232f5c44-4e12-8bb0-9fd3-540e80cad1f4
Q1059948,Khalifa bin Zayed Al Nahyan,2004-11-02,2022-05-13,,Q1059948-ca8d095c-4295-e8d6-1d01-1809c42e6270
Q1951896,Mohammed bin Zayed Al Nahyan,2022-05-13,,,Q1951896-CD2C8D87-9142-4D5A-946F-4E0E6CC01633
