@@,itemlabel,item,startdate,enddate
---,Rashid bin Humaid Al Nuaimi,Q60749006,1816,1838
---,Humaid bin Rashid Al Nuaimi,Q60785942,1838,1841
---,Abdelaziz bin Rashid Al Nuaimi,Q57728593,1841,1848
---,Rashid bin Humaid Al Nuaimi II,Q57728597,1864,1891
---,Humaid bin Rashid Al Nuaimi II,Q57728604,1891,1900
->,Abdulaziz bin Humaid Al Nuaimi->Sheikh Abdulaziz bin Humaid Al Nuaimi,Q57729207,1900,1910
->,Humaid bin Abdulaziz Al Nuaimi->Sheikh Humaid Humaid bin Abdulaziz Al Nuaimi,Q57729213,1910,1928
->,Rashid Bin Humaid Al Nuaimi->Sheikh Rashid bin Humaid Al Nuaimi III,Q7294894,1928,1981
->,Humaid bin Rashid Al Nuaimi->Sheikh Humaid bin Rashid Al Nuaimi III,Q2984620,1981,
