item,itemLabel,startDate,endDate
Q60748540,Sheikh Rashid bin Majid Al Mualla,1768,1820
Q60739904,Sheikh Abdullah bin Rashid Al Mualla,1820,1853
Q57418977,Sheikh Ali bin Abdullah Al Mualla,1853,1873
Q57418909,Sheikh Ahmad bin Abdullah Al Mualla,1873,1904
Q57584838,Sheikh Rashid bin Ahmad Al Mualla,1904,1922
Q57418911,Sheikh Abdullah bin Rashid Al Mualla II,1922,1923
Q57418912,Sheikh Hamad bin Ibrahim Al Mualla,1923,1929
Q4695515,Sheikh Ahmad bin Rashid Al Mualla,1929,1981
Q8973536,Sheikh Rashid bin Ahmad Al Mualla II,1981,2009
Q347571,Sheikh Saud bin Rashid Al Mualla,2009,
