position,title
Q955006,President
Q110964248,Vice President
Q30101519,Prime Minister
Q106181156,Deputy Prime Minister
Q110975281,Minister of Culture and Knowledge Development
Q110975282,Minister of Culture and Youth
Q110964264,Minister of Defence
Q106181285,Minister of Finance
Q110964346,Minister of Foreign Affairs
Q110964361,Minister of Health
Q110964354,Minister of Information and Culture
Q110964305,Minister of the Interior
Q110964337,Minister of Presidential Affairs
Q110975280,Minister of State for Federal National Council Affairs
Q28471402,Emir of Abu Dhabi
Q110964267,Ruler of Dubai
Q106181563,Deputy Ruler of Dubai
Q110964697,Ruler of Sharjah
Q110964698,Ruler of Ajman
Q110964700,Ruler of Fujairah
Q110964702,Ruler of Umm al-Quwain
Q110964704,Ruler of Ras al-Khaimah
